software,doi,candidate_url,true_label,predicted_label,correct
sklearn python package,10.3390/s21041463,https://pypi.org/project/scikit-learn/,1,1,1
star,10.1111/acel.12739,https://github.com/sahat/hackathon-starter,0,1,0
Flask,10.1093/gigascience/giz060,https://github.com/pallets-eco/flask-admin,0,0,1
psych,10.1186/s13068-015-0396-7,https://github.com/matiyau/pSyCH,0,1,0
PresenceAbsence,10.1038/s41598-018-35920-4,https://github.com/conda-forge/r-presenceabsence-feedstock,0,1,0
scikit-learn,10.3390/jpm11080748,https://cran.r-project.org/package=specklestar,0,0,1
panda,10.1186/s13073-021-00904-z,https://cran.r-project.org/package=RPANDA,0,0,1
NLME,10.1007/s10928-017-9526-0,https://github.com/cran/nlme,1,1,1
ngCGH,10.18632/oncotarget.23975,https://github.com/seandavi/ngCGH,0,1,0
cumSeg,10.7554/eLife.46259,https://cran.r-project.org/package=crmReg,0,1,0
MGDrivE,10.3390/insects11010052,https://github.com/conducive333/mgdrive-fdml-app,0,1,0
pandas,10.1107/S2053273319011446,https://github.com/jvns/pandas-cookbook,0,1,0
knitr,10.1186/s12859-016-1125-3,https://cran.r-project.org/package=docknitr,0,1,0
openrouteservice,10.3389/fped.2020.00395,https://cran.r-project.org/package=centiserve,0,0,1
numpy,10.1098/rstb.2013.0067,https://github.com/numpy/numpy,1,1,1
ggsci,10.7554/eLife.59654,https://github.com/liuqiang070488/ggscitable,0,1,0
biopy,10.1186/1471-2148-12-23,https://github.com/peterjc/biopython_workshop,0,1,0
stdReg,10.1007/s10654-018-0375-y,https://cran.r-project.org/package=stdReg,1,1,1
kontroller,10.7554/eLife.27670,https://github.com/emonetlab/kontroller,1,1,1
R2DT,10.3390/ijms22094686,https://cran.r-project.org/package=RCDT,0,0,1
activity,10.3390/ani9121071,https://github.com/Ereza/CustomActivityOnCrash,0,1,0
matplotlib,10.3390/antibiotics9110834,https://cran.r-project.org/package=matlib,0,0,1
tensorflow,10.1002/advs.202004958,https://github.com/tensorflow/tensorflow,1,1,1
lubridate,10.1186/s12889-018-5897-4,https://cran.r-project.org/package=lidaRtRee,0,1,0
shiny,10.1186/s12885-020-06756-x,https://pypi.org/project/shiny/,0,0,1
stringr,10.3389/fpls.2017.00623,https://cran.r-project.org/package=stringr,1,1,1
sfsmisc,10.1371/journal.pone.0063274,https://cran.r-project.org/package=sfsmisc,1,1,1
mnnpy,10.1242/dev.174557,https://cran.r-project.org/package=knnp,0,1,0
biopy,10.1093/molbev/msx126,https://pypi.org/project/biopy/,0,1,0
pytorch,10.1186/s12864-018-5283-8,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,0,1,0
PANDA,10.18632/aging.102023,https://cran.r-project.org/package=RPANDA,0,1,0
eQTLseq,10.1093/bioinformatics/btx355,https://pypi.org/project/eQTLseq/,1,1,1
scikit-learn,10.7554/eLife.61277,https://github.com/scikit-learn-contrib/hdbscan,0,0,1
rBayesianOptimization,10.3389/fonc.2020.00071,https://cran.r-project.org/package=BayesianMediationA,0,1,0
furniture,10.2196/27977,https://github.com/rajayogan/flutterui-furnitureapp,0,1,0
Velvet,10.1371/journal.pone.0216679,https://cran.r-project.org/package=revert,0,0,1
rmarkdown,10.1038/s41598-019-42713-w,https://github.com/rstudio/rmarkdown,1,1,1
mirt,10.2196/jmir.9380,https://github.com/philchalmers/mirt/,1,1,1
stars,10.1186/s12915-021-01043-y,https://pypi.org/project/stars/,0,1,0
numpy,10.1371/journal.pcbi.1007113,https://github.com/rougier/numpy-100,0,1,0
dplyr,10.3389/fneur.2017.00178,https://github.com/DPLYR-dev/SplashScreenFlutterPackage,0,0,1
Pandas,10.3390/antibiotics10040385,https://cran.r-project.org/package=ada,0,0,1
gitlab,10.1371/journal.pcbi.1008969,https://github.com/sameersbn/docker-gitlab,0,1,0
Flask,10.1093/database/baz075,https://cran.r-project.org/package=ltsk,0,0,1
intePareto,10.1186/s12864-020-07205-6,https://github.com/yingstat/intePareto-Supplementary,0,1,0
pandas,10.1186/s12864-019-5924-6,https://cran.r-project.org/package=repana,0,0,1
pytorch,10.3389/fncom.2021.626259,https://cran.r-project.org/package=torchopt,0,1,0
lubridate,10.7554/eLife.70086,https://cran.r-project.org/package=lidaRtRee,0,1,0
requests,10.1186/s12859-018-2367-z,https://github.com/ross/requests-futures,0,0,1
ndl,10.1371/journal.pone.0075734,https://github.com/ndless-nspire/Ndless,0,1,0
knitr,10.1186/s12859-021-03970-7,https://cran.r-project.org/package=knitr,1,1,1
tidyverse,10.12688/wellcomeopenres.16164.2,https://cran.r-project.org/package=dsTidyverseClient,0,1,0
tensorflow,10.3390/ijms21186652,https://pypi.org/project/tensorflow/,0,1,0
NLME,10.3389/fphar.2020.00552,https://github.com/LifangzhouSia/Colored-NLmeans-for-Infrared-Mixed-Noise-Removal,0,0,1
POAP,10.31557/APJCP.2019.20.11.3399,https://github.com/inpacdb/POAP,1,1,1
SCINA,10.1186/s13059-019-1795-z,https://cran.r-project.org/package=SPINA,0,0,1
NLME,10.3389/fphar.2020.00552,https://cran.r-project.org/package=Certara.RsNLME.ModelBuilder,0,0,1
DiagrammeRsvg,10.1038/s41598-021-91205-3,https://cran.r-project.org/package=DiagrammeR,0,1,0
MultiPhen,10.1038/srep34323,https://cran.r-project.org/package=MultiPhen,1,1,1
BeautifulSoup,10.3389/fvets.2021.674730,https://github.com/icodeu/BeautifulSoup,0,0,1
R package STAR,10.1016/j.cub.2019.09.005,https://github.com/luc-mo/react-package-starter,0,1,0
sfsmisc,10.3389/fnbeh.2019.00120,https://github.com/mmaechler/sfsmisc,1,1,1
Flask,10.1093/database/baaa106,https://github.com/humiaozuzu/awesome-flask,0,0,1
matplotlib,10.3390/antibiotics9110834,https://cran.r-project.org/package=datplot,0,0,1
dplyr,10.18632/aging.202739,https://github.com/coolbutuseless/dplyr-cli,0,0,1
numpy,10.1038/s41598-017-13828-9,https://github.com/ddbourgin/numpy-ml,0,0,1
tidyr,10.3389/fvets.2020.547181,https://cran.r-project.org/package=tidyrates,0,1,0
enetLTS,10.1186/s12859-020-03653-9,https://cran.r-project.org/package=genTS,0,1,0
lunar,10.1371/journal.pone.0252092,https://cran.r-project.org/package=lacunr,0,0,1
STAR package,10.1186/s13059-021-02364-5,https://github.com/nestjsplus/nestjs-package-starter,0,0,1
mixKernel,10.3389/fmicb.2021.609048,https://cran.r-project.org/package=isokernel,0,1,0
tensorflow,10.1186/s12911-019-0991-9,https://github.com/jtoy/awesome-tensorflow,0,1,0
relaimpo,10.1371/journal.pone.0050239,https://cran.r-project.org/package=relgam,0,0,1
pandas,10.1371/journal.pone.0230416,https://pypi.org/project/pandas/,1,1,1
catmap,10.1186/1471-2105-9-130,https://cran.r-project.org/package=catmaply,0,1,0
SKLEARN,10.3389/fmicb.2019.01084,https://cran.r-project.org/package=SLCARE,0,1,0
tidyverse,10.1155/2020/5418364,https://github.com/tidyverse/tidyr,0,0,1
openrouteservice,10.3389/fped.2020.00395,https://github.com/GIScience/openrouteservice-r,0,1,0
GillespieSSA,10.1038/srep36301,https://github.com/rcannood/GillespieSSA,1,1,1
tensorflow,10.12688/f1000research.51117.1,https://cran.r-project.org/package=tensr,0,0,1
rmarkdown,10.1186/s40359-021-00534-5,https://github.com/cran/rmarkdown,1,1,1
ndl,10.1371/journal.pone.0075734,https://cran.r-project.org/package=edgebundle,0,1,0
biopy,10.1093/sysbio/syv118,https://cran.r-project.org/package=ioncopy,0,1,0
Django,10.3390/metabo5030431,https://github.com/wsvincent/awesome-django,0,1,0
psych,10.1186/s13068-015-0396-7,https://cran.r-project.org/package=psychmeta,0,0,1
scikit-learn,10.3389/fgene.2019.01292,https://cran.r-project.org/package=clustlearn,0,0,1
pandas,10.2196/13962,https://cran.r-project.org/package=pnd,0,0,1
activity,10.1186/s12870-015-0666-3,https://cran.r-project.org/package=biologicalActivityIndices,0,1,0
PresenceAbsence,10.1038/s41598-018-35920-4,https://cran.r-project.org/package=PresenceAbsence,1,1,1
Velvet,10.1371/journal.pone.0216679,https://github.com/sgwoodjr/velvet,0,0,1
catmap,10.1371/journal.pone.0136282,https://cran.r-project.org/package=catmaply,0,1,0
cellranger,10.21203/rs.3.rs-664507/v1,https://github.com/hb-gitified/cellrangerRkit,0,1,0
rmarkdown,10.1038/s41398-021-01596-0,https://github.com/cran/rmarkdown,1,1,1
tensorflow,10.1371/journal.pcbi.1008918,https://github.com/aymericdamien/TensorFlow-Examples,0,1,0
Flask,10.1093/gigascience/giz060,https://cran.r-project.org/package=lars,0,0,1
readr,10.3934/publichealth.2021034,https://cran.r-project.org/package=hildareadR,0,0,1
BeautifulSoup,10.1186/1751-0473-8-9,https://github.com/beautifulSoup/RtmpRecoder,0,0,1
knitr,10.1136/bmjopen-2019-031251,https://github.com/cran/knitr,1,1,1
SCINA,10.1186/s13059-019-1795-z,https://github.com/cran/SCINA,1,1,1
pandas,10.2196/13962,https://github.com/guipsamora/pandas_exercises,0,0,1
dplyr,10.3390/jpm11060512,https://cran.r-project.org/package=dplyr,1,1,1
Flask,10.1093/gigascience/giz060,https://cran.r-project.org/package=rlas,0,0,1
scCATCH,10.1038/s42003-021-02146-6,https://github.com/ZJUFanLab/scCATCH,1,1,1
svUnit,10.1186/s13040-017-0151-7,https://cran.r-project.org/package=snplist,0,0,1
MGDrivE,10.7554/eLife.65939,https://github.com/mln27/MGDrivE_Disease-Induced-Mortality,0,1,0
intePareto,10.1186/s12864-020-07256-9,https://cran.r-project.org/package=intePareto,1,1,1
(STAR,10.3389/fphys.2020.623190,https://cran.r-project.org/package=STAREG,0,1,0
stringr,10.3390/v12010107,https://github.com/tidyverse/stringr,1,1,1
osmdata,10.1038/s41598-021-82145-z,https://github.com/cran/osmdata,1,1,1
lunar,10.1002/ece3.7006,https://github.com/Melledy/LunarCore,0,1,0
matplotlib,10.1038/s41398-018-0334-0,https://github.com/matplotlib/cheatsheets,0,1,0
tensorflow,10.1002/mp.14415,https://github.com/rstudio/tensorflow,0,1,0
Django,10.4269/ajtmh.2011.10-0528,https://cran.r-project.org/package=janitor,0,0,1
sklearn,10.1111/acel.13320,https://github.com/scikit-learn-contrib/sklearn-pandas,0,1,0
spektral,10.3389/fgene.2021.733906,https://github.com/danielegrattarola/spektral,1,1,1
tensorflow,10.1001/jamanetworkopen.2021.6096,https://cran.r-project.org/package=tensorA,0,1,0
tidyverse,10.1371/journal.pone.0251280,https://github.com/cran/tidyverse,1,1,1
Python sklearn,10.3389/fnins.2021.629892,https://github.com/Soluto/python-flask-sklearn-docker-template,0,1,0
mirt,10.3390/ijerph18030879,https://github.com/guanhuaw/MIRTorch,0,0,1
nlsic,10.3390/metabo10040150,https://cran.r-project.org/package=nlstac,0,1,0
venn,10.1371/journal.pone.0118867,https://github.com/benfred/venn.js,0,0,1
sst,10.1371/journal.pone.0129674,https://cran.r-project.org/package=crosstalk,0,1,0
scCATCH,10.1007/s13238-020-00727-5,https://github.com/ZJUFanLab/scCATCH_performance_comparison,0,0,1
star,10.1186/s13015-016-0068-6,https://cran.r-project.org/package=BAYSTAR,0,0,1
ndl,10.1111/cogs.12910,https://github.com/ndl-lab/ndlocr_cli,0,1,0
pytorch,10.1186/s12864-018-5283-8,https://github.com/pytorch/pytorch,1,1,1
beepr,10.3389/fimmu.2021.632333,https://github.com/xreef/MKS_WIFI_upgrade_with_BeePrint_web_interface,0,0,1
tripal,10.3389/fpls.2018.00418,https://cran.r-project.org/package=trip,0,1,0
Flask,10.1093/database/baaa106,https://cran.r-project.org/package=rlas,0,0,1
earth,10.1038/s41598-020-75476-w,https://cran.r-project.org/package=earthtide,0,1,0
ABBYY,10.12688/f1000research.7329.3,https://pypi.org/project/ABBYY/,1,1,1
rmarkdown,10.1038/s41398-021-01596-0,https://github.com/vim-pandoc/vim-rmarkdown,0,0,1
Django,10.1186/s12911-019-0750-y,https://github.com/django-cms/django-cms,0,0,1
svUnit,10.7717/peerj-cs.175,https://cran.r-project.org/package=RUnit,0,1,0
lunar,10.1002/ece3.7006,https://cran.r-project.org/package=lacunr,0,1,0
tigerstats,10.1093/jac/dky096,https://cran.r-project.org/package=geostats,0,0,1
QCluster,10.1186/s13015-014-0029-x,https://github.com/jkomyno/bioalgo-QCluster-vs-isONclust,0,1,0
matplotlib,10.1038/s41398-018-0334-0,https://github.com/rougier/matplotlib-tutorial,0,1,0
sklearn,10.1186/s13195-021-00874-9,https://pypi.org/project/scikit-learn/,1,1,1
SKLEARN,10.1155/2020/8858588,https://github.com/hyperopt/hyperopt-sklearn,0,0,1
stars,10.1371/journal.pone.0247535,https://github.com/mingrammer/go-web-framework-stars,0,0,1
