software,doi,candidate_url,true_label,predicted_label,correct
stars,10.3390/e22090937,https://github.com/starship/starship,0,0,1
cumSeg,10.1371/journal.pone.0078143,https://github.com/cran/cumSeg,1,1,1
beepr,10.3389/fimmu.2021.632333,https://cran.r-project.org/package=epr,0,0,1
ggnewscale,10.3389/fmicb.2021.679671,https://github.com/cran/ggnewscale,1,1,1
sklearn python package,10.3390/s21041463,https://pypi.org/project/scikit-learn/,1,1,1
star,10.1111/acel.12739,https://github.com/sahat/hackathon-starter,0,1,0
sfsmisc,10.3389/fnbeh.2019.00120,https://github.com/conda-forge/r-sfsmisc-feedstock,0,1,0
psych,10.1186/s13068-015-0396-7,https://github.com/matiyau/pSyCH,0,0,1
PresenceAbsence,10.1038/s41598-018-35920-4,https://github.com/conda-forge/r-presenceabsence-feedstock,0,1,0
Python sklearn,10.3390/pharmaceutics13071026,https://github.com/13days/Python-sklearn-DataAnalysis,0,1,0
panda,10.1186/s13073-021-00904-z,https://cran.r-project.org/package=RPANDA,0,0,1
NLME,10.1007/s10928-017-9526-0,https://github.com/cran/nlme,1,1,1
R2DT,10.3390/ijms22094686,https://github.com/NHERI-SimCenter/R2DTool,0,0,1
cumSeg,10.7554/eLife.46259,https://cran.r-project.org/package=crmReg,0,0,1
MGDrivE,10.3390/insects11010052,https://github.com/conducive333/mgdrive-fdml-app,0,1,0
dplyr,10.3389/fphys.2020.00862,https://github.com/justmarkham/dplyr-tutorial,0,1,0
knitr,10.1186/s12859-016-1125-3,https://cran.r-project.org/package=docknitr,0,0,1
openrouteservice,10.3389/fped.2020.00395,https://cran.r-project.org/package=centiserve,0,0,1
lubridate,10.1007/s00228-020-03052-2,https://github.com/cran/lubridate,1,1,1
ggsci,10.7554/eLife.59654,https://github.com/liuqiang070488/ggscitable,0,0,1
biopy,10.1186/1471-2148-12-23,https://github.com/peterjc/biopython_workshop,0,1,0
scikit-learn,10.1186/s12920-017-0264-3,https://cran.r-project.org/package=specklestar,0,1,0
kontroller,10.7554/eLife.27670,https://github.com/emonetlab/kontroller,1,1,1
R2DT,10.3390/ijms22094686,https://cran.r-project.org/package=RCDT,0,0,1
gitlab,10.5334/jors.289,https://github.com/firecow/gitlab-ci-local,0,0,1
matplotlib,10.3390/antibiotics9110834,https://cran.r-project.org/package=matlib,0,0,1
tensorflow,10.1002/advs.202004958,https://github.com/tensorflow/tensorflow,1,1,1
readr,10.1038/s41598-020-76683-1,https://cran.r-project.org/package=BREADR,0,0,1
shiny,10.1186/s12885-020-06756-x,https://pypi.org/project/shiny/,0,0,1
stringr,10.3389/fpls.2017.00623,https://cran.r-project.org/package=stringr,1,1,1
phylip,10.1186/s12864-018-5300-y,https://github.com/edgardomortiz/vcf2phylip,0,0,1
mnnpy,10.1242/dev.174557,https://cran.r-project.org/package=knnp,0,1,0
biopy,10.1093/molbev/msx126,https://pypi.org/project/biopy/,0,1,0
knitr,10.1038/s41598-018-30701-5,https://cran.r-project.org/package=knitrdata,0,0,1
PANDA,10.18632/aging.102023,https://cran.r-project.org/package=RPANDA,0,1,0
eQTLseq,10.1093/bioinformatics/btx355,https://pypi.org/project/eQTLseq/,1,1,1
margins,10.1371/journal.pone.0248977,https://cran.r-project.org/package=margins,1,1,1
rBayesianOptimization,10.3389/fonc.2020.00071,https://cran.r-project.org/package=BayesianMediationA,0,0,1
furniture,10.2196/27977,https://github.com/rajayogan/flutterui-furnitureapp,0,0,1
psych,10.1534/g3.117.300415,https://github.com/brandonlw/Psychson,0,1,0
rmarkdown,10.1038/s41598-019-42713-w,https://github.com/rstudio/rmarkdown,1,1,1
mirt,10.2196/jmir.9380,https://github.com/philchalmers/mirt/,1,1,1
readr,10.3934/publichealth.2021034,https://github.com/tidyverse/readr,1,1,1
numpy,10.1371/journal.pcbi.1007113,https://github.com/rougier/numpy-100,0,1,0
dplyr,10.3389/fneur.2017.00178,https://github.com/DPLYR-dev/SplashScreenFlutterPackage,0,0,1
geobr,10.3390/pathogens10080988,https://github.com/max-mapper/geobrowser,0,1,0
gitlab,10.1371/journal.pcbi.1008969,https://github.com/sameersbn/docker-gitlab,0,0,1
Flask,10.1093/database/baz075,https://cran.r-project.org/package=ltsk,0,1,0
mixKernel,10.3389/fmicb.2021.609048,https://cran.r-project.org/package=KernelKnn,0,0,1
pandas,10.1186/s12864-019-5924-6,https://cran.r-project.org/package=repana,0,0,1
pytorch,10.3389/fncom.2021.626259,https://cran.r-project.org/package=torchopt,0,1,0
psych,10.1186/s13068-015-0396-7,https://github.com/cran/psych,1,1,1
requests,10.1186/s12859-018-2367-z,https://github.com/ross/requests-futures,0,0,1
ndl,10.1371/journal.pone.0075734,https://github.com/ndless-nspire/Ndless,0,1,0
tigerstats,10.1093/jac/dky096,https://cran.r-project.org/package=tgstat,0,0,1
tidyverse,10.12688/wellcomeopenres.16164.2,https://cran.r-project.org/package=dsTidyverseClient,0,1,0
tensorflow,10.3390/ijms21186652,https://pypi.org/project/tensorflow/,0,1,0
biopy,10.1093/sysbio/syv118,https://github.com/tiagoantao/biopython-notebook,0,1,0
POAP,10.31557/APJCP.2019.20.11.3399,https://github.com/inpacdb/POAP,1,1,1
SCINA,10.1186/s13059-019-1795-z,https://cran.r-project.org/package=SPINA,0,1,0
data.table,10.1371/journal.pone.0239197,https://github.com/jbetancur/react-data-table-component,0,0,1
DiagrammeRsvg,10.1038/s41598-021-91205-3,https://cran.r-project.org/package=DiagrammeR,0,1,0
MultiPhen,10.1038/srep34323,https://cran.r-project.org/package=MultiPhen,1,1,1
GillespieSSA,10.1371/journal.pone.0079345,https://github.com/cran/GillespieSSA,1,1,1
R package STAR,10.1016/j.cub.2019.09.005,https://github.com/luc-mo/react-package-starter,0,0,1
sfsmisc,10.3389/fnbeh.2019.00120,https://github.com/mmaechler/sfsmisc,1,1,1
tensorflow,10.1371/journal.pcbi.1008918,https://github.com/tensorflow/tfjs,0,1,0
matplotlib,10.3390/antibiotics9110834,https://cran.r-project.org/package=datplot,0,0,1
dplyr,10.18632/aging.202739,https://github.com/coolbutuseless/dplyr-cli,0,0,1
assignPOP,10.1111/eva.12849,https://cran.r-project.org/package=assignPOP,1,1,1
tidyr,10.3389/fvets.2020.547181,https://cran.r-project.org/package=tidyrates,0,0,1
enetLTS,10.1186/s12859-020-03653-9,https://cran.r-project.org/package=genTS,0,1,0
deepredeff,10.1186/s12859-021-04293-3,https://cran.r-project.org/package=deepdep,0,0,1
STAR package,10.1186/s13059-021-02364-5,https://github.com/nestjsplus/nestjs-package-starter,0,0,1
mixKernel,10.3389/fmicb.2021.609048,https://cran.r-project.org/package=isokernel,0,1,0
QCluster,10.1186/s13015-014-0029-x,https://cran.r-project.org/package=ImCluster,0,1,0
relaimpo,10.1371/journal.pone.0050239,https://cran.r-project.org/package=relgam,0,0,1
pandas,10.1371/journal.pone.0230416,https://pypi.org/project/pandas/,1,1,1
fastDummies,10.1016/j.prevetmed.2021.105395,https://github.com/burningdrop/fastDummiesDot,0,1,0
SKLEARN,10.3389/fmicb.2019.01084,https://cran.r-project.org/package=SLCARE,0,0,1
tidyverse,10.1155/2020/5418364,https://github.com/tidyverse/tidyr,0,1,0
POAP,10.31557/APJCP.2019.20.11.3399,https://cran.r-project.org/package=PheCAP,0,1,0
GillespieSSA,10.1038/srep36301,https://github.com/rcannood/GillespieSSA,1,1,1
tensorflow,10.12688/f1000research.51117.1,https://cran.r-project.org/package=tensr,0,1,0
ggplot2,10.1186/s12864-020-6653-6,https://github.com/erikgahner/awesome-ggplot2,0,1,0
ndl,10.1371/journal.pone.0075734,https://cran.r-project.org/package=edgebundle,0,1,0
biopy,10.1093/sysbio/syv118,https://cran.r-project.org/package=ioncopy,0,1,0
phylip,10.7717/peerj.5089,https://cran.r-project.org/package=phylepic,0,0,1
psych,10.1186/s13068-015-0396-7,https://cran.r-project.org/package=psychmeta,0,0,1
scikit-learn,10.3389/fgene.2019.01292,https://cran.r-project.org/package=clustlearn,0,1,0
psych,10.3389/fpsyt.2021.498614,https://github.com/jspsych/jsPsych,0,1,0
activity,10.1186/s12870-015-0666-3,https://cran.r-project.org/package=biologicalActivityIndices,0,0,1
PresenceAbsence,10.1038/s41598-018-35920-4,https://cran.r-project.org/package=PresenceAbsence,1,1,1
tandem,10.1128/genomeA.01271-17,https://cran.r-project.org/package=transmem,0,0,1
catmap,10.1371/journal.pone.0136282,https://cran.r-project.org/package=catmaply,0,1,0
cellranger,10.21203/rs.3.rs-664507/v1,https://github.com/hb-gitified/cellrangerRkit,0,1,0
sklearn,10.1002/advs.201903392,https://cran.r-project.org/package=learnr,0,0,1
tensorflow,10.1371/journal.pcbi.1008918,https://github.com/aymericdamien/TensorFlow-Examples,0,1,0
Flask,10.1093/gigascience/giz060,https://cran.r-project.org/package=lars,0,0,1
RAINBOWR,10.1371/journal.pcbi.1007663,https://github.com/KosukeHamazaki/RAINBOWR,1,1,1
BeautifulSoup,10.1186/1751-0473-8-9,https://github.com/beautifulSoup/RtmpRecoder,0,0,1
knitr,10.1136/bmjopen-2019-031251,https://github.com/cran/knitr,1,1,1
SCINA,10.3390/genes10070531,https://github.com/PetterRuud/com.scinan.api,0,0,1
pandas,10.2196/13962,https://github.com/guipsamora/pandas_exercises,0,0,1
dplyr,10.3390/jpm11060512,https://cran.r-project.org/package=dplyr,1,1,1
R2DT,10.3390/ijms22094686,https://github.com/r2dt-bio/r2dt,1,1,1
scCATCH,10.1038/s42003-021-02146-6,https://github.com/ZJUFanLab/scCATCH,1,1,1
svUnit,10.1186/s13040-017-0151-7,https://cran.r-project.org/package=snplist,0,1,0
modes,10.1371/journal.pone.0223490,https://github.com/lexborisov/Modest,0,0,1
intePareto,10.1186/s12864-020-07256-9,https://cran.r-project.org/package=intePareto,1,1,1
(STAR,10.3389/fphys.2020.623190,https://cran.r-project.org/package=STAREG,0,1,0
gitlab,10.1371/journal.pcbi.1009301,https://cran.r-project.org/package=vistla,0,0,1
osmdata,10.1038/s41598-021-82145-z,https://github.com/cran/osmdata,1,1,1
lunar,10.1002/ece3.7006,https://github.com/Melledy/LunarCore,0,1,0
stars,10.1371/journal.pone.0247535,https://cran.r-project.org/package=stars,1,1,1
tensorflow,10.1002/mp.14415,https://github.com/rstudio/tensorflow,0,1,0
Django,10.4269/ajtmh.2011.10-0528,https://cran.r-project.org/package=janitor,0,0,1
Velvet,10.3389/fmicb.2017.02619,https://pypi.org/project/velvet/,0,0,1
spektral,10.3389/fgene.2021.733906,https://github.com/danielegrattarola/spektral,1,1,1
tensorflow,10.1001/jamanetworkopen.2021.6096,https://cran.r-project.org/package=tensorA,0,0,1
Star,10.1186/s40478-016-0364-x,https://github.com/starship/starship,0,1,0
Python sklearn,10.3389/fnins.2021.629892,https://github.com/Soluto/python-flask-sklearn-docker-template,0,1,0
mirt,10.3390/ijerph18030879,https://github.com/guanhuaw/MIRTorch,0,0,1
gitlab,10.1371/journal.pcbi.1009301,https://github.com/gitlabhq/gitlabhq,0,1,0
venn,10.1371/journal.pone.0118867,https://github.com/benfred/venn.js,0,0,1
sst,10.1371/journal.pone.0129674,https://cran.r-project.org/package=crosstalk,0,0,1
stdReg,10.1007/s10654-018-0375-y,https://cran.r-project.org/package=stdReg2,0,1,0
star,10.1186/s13015-016-0068-6,https://cran.r-project.org/package=BAYSTAR,0,1,0
ndl,10.1111/cogs.12910,https://github.com/ndl-lab/ndlocr_cli,0,1,0
readr,10.1371/journal.pone.0255433,https://github.com/s3ththompson/readrc,0,0,1
beepr,10.3389/fimmu.2021.632333,https://github.com/xreef/MKS_WIFI_upgrade_with_BeePrint_web_interface,0,0,1
tripal,10.3389/fpls.2018.00418,https://cran.r-project.org/package=trip,0,1,0
SentimentAnalysis,10.2196/jopm.9745,https://github.com/Edward1Chou/SentimentAnalysis,0,1,0
earth,10.1038/s41598-020-75476-w,https://cran.r-project.org/package=earthtide,0,1,0
ABBYY,10.12688/f1000research.7329.3,https://pypi.org/project/ABBYY/,1,1,1
STAR package,10.1186/s12920-021-01041-7,https://github.com/nestjsplus/nestjs-package-starter,0,0,1
Django,10.1186/s12911-019-0750-y,https://github.com/django-cms/django-cms,0,0,1
svUnit,10.7717/peerj-cs.175,https://cran.r-project.org/package=RUnit,0,1,0
chemometrics,10.3389/fmicb.2018.00938,https://github.com/Gscorreia89/pyChemometrics,0,0,1
tigerstats,10.1093/jac/dky096,https://cran.r-project.org/package=geostats,0,0,1
QCluster,10.1186/s13015-014-0029-x,https://github.com/jkomyno/bioalgo-QCluster-vs-isONclust,0,1,0
data.table,10.3390/microorganisms7110547,https://github.com/facebookarchive/fixed-data-table,0,0,1
sklearn,10.1186/s13195-021-00874-9,https://pypi.org/project/scikit-learn/,1,1,1
SKLEARN,10.1155/2020/8858588,https://github.com/hyperopt/hyperopt-sklearn,0,0,1
data.table,10.1093/eurheartj/ehaa756,https://cran.r-project.org/package=data.table.threads,0,1,0
